year,Kadima,Likud,Yis Bet,Labor,Shas,UTJ,HaBayit,UAL,Hadash,Balad,Meretz,Yesh,Otzma,Am,Hatnuah,NU,Greens,Gil
2013,2,31,0,15,11,7,12,4,4,3,6,19,0,0,6,0,0,0
2009,28,27,15,13,11,5,3,4,4,3,3,0,0,0,0,4,0,0
2006,29,12,11,19,12,6,0,10,0,0,5,0,0,0,0,9,0,7
